,destination,come_from,total,year,month
871,Galicia,Foreign,15207,2021,Jan
872,Galicia,Foreign,13491,2020,Dec
873,Galicia,Foreign,19298,2020,Nov
874,Galicia,Foreign,33667,2020,Oct
875,Galicia,Foreign,45064,2020,Sep
876,Galicia,Foreign,81290,2020,Aug
877,Galicia,Foreign,56601,2020,Jul
878,Galicia,Foreign,10680,2020,Jun
879,Galicia,Foreign,2642,2020,May
880,Galicia,Foreign,0,2020,Apr
881,Galicia,Foreign,34117,2020,Mar
882,Galicia,Foreign,72806,2020,Feb
883,Galicia,Foreign,61681,2020,Jan
884,Galicia,Foreign,67854,2019,Dec
885,Galicia,Foreign,87851,2019,Nov
886,Galicia,Foreign,231977,2019,Oct
887,Galicia,Foreign,323687,2019,Sep
888,Galicia,Foreign,291613,2019,Aug
889,Galicia,Foreign,254982,2019,Jul
890,Galicia,Foreign,278500,2019,Jun
891,Galicia,Foreign,259803,2019,May
892,Galicia,Foreign,190664,2019,Apr
893,Galicia,Foreign,94986,2019,Mar
894,Galicia,Foreign,54938,2019,Feb
895,Galicia,Foreign,57149,2019,Jan
896,Galicia,Foreign,67581,2018,Dec
897,Galicia,Foreign,97946,2018,Nov
898,Galicia,Foreign,200210,2018,Oct
899,Galicia,Foreign,279172,2018,Sep
900,Galicia,Foreign,290528,2018,Aug
901,Galicia,Foreign,234447,2018,Jul
902,Galicia,Foreign,235585,2018,Jun
903,Galicia,Foreign,232858,2018,May
904,Galicia,Foreign,150357,2018,Apr
905,Galicia,Foreign,88017,2018,Mar
906,Galicia,Foreign,60996,2018,Feb
907,Galicia,Foreign,53783,2018,Jan
908,Galicia,Foreign,58561,2017,Dec
909,Galicia,Foreign,78778,2017,Nov
910,Galicia,Foreign,228779,2017,Oct
911,Galicia,Foreign,307209,2017,Sep
912,Galicia,Foreign,305846,2017,Aug
913,Galicia,Foreign,274194,2017,Jul
914,Galicia,Foreign,268953,2017,Jun
915,Galicia,Foreign,246606,2017,May
916,Galicia,Foreign,160948,2017,Apr
917,Galicia,Foreign,73660,2017,Mar
918,Galicia,Foreign,51365,2017,Feb
919,Galicia,Foreign,49883,2017,Jan
920,Galicia,Foreign,52175,2016,Dec
