,accommodation_type,avg_days,year,month
142,Hotels,2.12,2010,Oct
143,Hotels,2.19,2010,Sep
144,Hotels,2.42,2010,Aug
145,Hotels,2.26,2010,Jul
146,Hotels,2.08,2010,Jun
147,Hotels,1.99,2010,May
148,Hotels,2.09,2010,Apr
149,Hotels,2.06,2010,Mar
150,Hotels,2,2010,Feb
151,Hotels,2.02,2010,Jan
152,Hotels,2,2009,Dec
153,Hotels,2.14,2009,Nov
154,Hotels,2.11,2009,Oct
155,Hotels,2.17,2009,Sep
156,Hotels,2.44,2009,Aug
157,Hotels,2.36,2009,Jul
158,Hotels,2.15,2009,Jun
159,Hotels,2.07,2009,May
160,Hotels,2.13,2009,Apr
161,Hotels,2.13,2009,Mar
162,Hotels,2.03,2009,Feb
163,Hotels,2.06,2009,Jan
164,Hotels,2.1,2008,Dec
165,Hotels,2.17,2008,Nov
166,Hotels,2.15,2008,Oct
167,Hotels,2.21,2008,Sep
168,Hotels,2.45,2008,Aug
169,Hotels,2.38,2008,Jul
170,Hotels,2.16,2008,Jun
171,Hotels,2.07,2008,May
172,Hotels,2.06,2008,Apr
173,Hotels,2.19,2008,Mar
174,Hotels,2.07,2008,Feb
175,Hotels,2.07,2008,Jan
176,Hotels,2.05,2007,Dec
177,Hotels,2.12,2007,Nov
178,Hotels,2.08,2007,Oct
