,destination,come_from,total,year,month
298,Galicia,Foreign,40803,2021,Jun
299,Galicia,Foreign,16311,2021,May
300,Galicia,Foreign,6941,2021,Apr
301,Galicia,Foreign,5974,2021,Mar
302,Galicia,Foreign,3713,2021,Feb
303,Galicia,Foreign,4377,2021,Jan
304,Galicia,Foreign,4356,2020,Dec
305,Galicia,Foreign,5354,2020,Nov
306,Galicia,Foreign,15356,2020,Oct
307,Galicia,Foreign,21403,2020,Sep
308,Galicia,Foreign,38622,2020,Aug
309,Galicia,Foreign,25567,2020,Jul
310,Galicia,Foreign,3034,2020,Jun
311,Galicia,Foreign,441,2020,May
312,Galicia,Foreign,0,2020,Apr
313,Galicia,Foreign,15444,2020,Mar
314,Galicia,Foreign,35438,2020,Feb
315,Galicia,Foreign,29141,2020,Jan
316,Galicia,Foreign,32696,2019,Dec
317,Galicia,Foreign,43857,2019,Nov
318,Galicia,Foreign,141469,2019,Oct
319,Galicia,Foreign,197865,2019,Sep
320,Galicia,Foreign,156802,2019,Aug
321,Galicia,Foreign,134432,2019,Jul
322,Galicia,Foreign,168198,2019,Jun
323,Galicia,Foreign,168166,2019,May
324,Galicia,Foreign,111219,2019,Apr
325,Galicia,Foreign,46332,2019,Mar
326,Galicia,Foreign,26732,2019,Feb
327,Galicia,Foreign,26066,2019,Jan
328,Galicia,Foreign,36030,2018,Dec
329,Galicia,Foreign,41644,2018,Nov
330,Galicia,Foreign,120873,2018,Oct
331,Galicia,Foreign,171572,2018,Sep
332,Galicia,Foreign,155147,2018,Aug
333,Galicia,Foreign,130582,2018,Jul
334,Galicia,Foreign,143035,2018,Jun
335,Galicia,Foreign,151154,2018,May
336,Galicia,Foreign,84224,2018,Apr
337,Galicia,Foreign,48437,2018,Mar
338,Galicia,Foreign,30444,2018,Feb
339,Galicia,Foreign,25721,2018,Jan
340,Galicia,Foreign,30677,2017,Dec
341,Galicia,Foreign,45864,2017,Nov
342,Galicia,Foreign,152106,2017,Oct
343,Galicia,Foreign,203179,2017,Sep
344,Galicia,Foreign,172552,2017,Aug
345,Galicia,Foreign,160147,2017,Jul
346,Galicia,Foreign,172121,2017,Jun
347,Galicia,Foreign,167848,2017,May
348,Galicia,Foreign,101943,2017,Apr
349,Galicia,Foreign,39157,2017,Mar
350,Galicia,Foreign,28754,2017,Feb
351,Galicia,Foreign,24828,2017,Jan
352,Galicia,Foreign,29248,2016,Dec
353,Galicia,Foreign,39986,2016,Nov
354,Galicia,Foreign,135116,2016,Oct
355,Galicia,Foreign,190246,2016,Sep
356,Galicia,Foreign,176566,2016,Aug
357,Galicia,Foreign,149827,2016,Jul
358,Galicia,Foreign,168635,2016,Jun
359,Galicia,Foreign,161431,2016,May
360,Galicia,Foreign,83403,2016,Apr
361,Galicia,Foreign,44159,2016,Mar
362,Galicia,Foreign,24315,2016,Feb
363,Galicia,Foreign,20486,2016,Jan
364,Galicia,Foreign,27454,2015,Dec
365,Galicia,Foreign,36967,2015,Nov
366,Galicia,Foreign,121910,2015,Oct
367,Galicia,Foreign,173654,2015,Sep
368,Galicia,Foreign,171355,2015,Aug
369,Galicia,Foreign,153172,2015,Jul
370,Galicia,Foreign,161539,2015,Jun
371,Galicia,Foreign,151743,2015,May
372,Galicia,Foreign,81877,2015,Apr
373,Galicia,Foreign,36897,2015,Mar
374,Galicia,Foreign,21465,2015,Feb
375,Galicia,Foreign,19695,2015,Jan
376,Galicia,Foreign,23560,2014,Dec
377,Galicia,Foreign,30700,2014,Nov
378,Galicia,Foreign,100843,2014,Oct
379,Galicia,Foreign,153019,2014,Sep
380,Galicia,Foreign,151107,2014,Aug
381,Galicia,Foreign,122714,2014,Jul
382,Galicia,Foreign,130931,2014,Jun
383,Galicia,Foreign,133714,2014,May
384,Galicia,Foreign,71011,2014,Apr
385,Galicia,Foreign,26479,2014,Mar
386,Galicia,Foreign,18179,2014,Feb
387,Galicia,Foreign,16207,2014,Jan
388,Galicia,Foreign,19527,2013,Dec
389,Galicia,Foreign,26677,2013,Nov
390,Galicia,Foreign,81785,2013,Oct
391,Galicia,Foreign,122999,2013,Sep
392,Galicia,Foreign,125507,2013,Aug
393,Galicia,Foreign,102933,2013,Jul
394,Galicia,Foreign,114337,2013,Jun
395,Galicia,Foreign,107480,2013,May
396,Galicia,Foreign,58292,2013,Apr
397,Galicia,Foreign,34389,2013,Mar
398,Galicia,Foreign,19090,2013,Feb
399,Galicia,Foreign,15890,2013,Jan
400,Galicia,Foreign,22566,2012,Dec
401,Galicia,Foreign,25488,2012,Nov
402,Galicia,Foreign,73689,2012,Oct
403,Galicia,Foreign,113770,2012,Sep
404,Galicia,Foreign,114037,2012,Aug
405,Galicia,Foreign,88763,2012,Jul
406,Galicia,Foreign,87989,2012,Jun
407,Galicia,Foreign,92498,2012,May
408,Galicia,Foreign,57924,2012,Apr
409,Galicia,Foreign,28623,2012,Mar
410,Galicia,Foreign,19718,2012,Feb
411,Galicia,Foreign,17688,2012,Jan
412,Galicia,Foreign,19958,2011,Dec
413,Galicia,Foreign,25147,2011,Nov
414,Galicia,Foreign,68945,2011,Oct
415,Galicia,Foreign,102556,2011,Sep
416,Galicia,Foreign,115487,2011,Aug
417,Galicia,Foreign,92280,2011,Jul
418,Galicia,Foreign,94352,2011,Jun
419,Galicia,Foreign,85954,2011,May
420,Galicia,Foreign,54829,2011,Apr
421,Galicia,Foreign,27610,2011,Mar
422,Galicia,Foreign,19199,2011,Feb
423,Galicia,Foreign,16289,2011,Jan
424,Galicia,Foreign,22758,2010,Dec
425,Galicia,Foreign,26297,2010,Nov
426,Galicia,Foreign,75055,2010,Oct
427,Galicia,Foreign,102155,2010,Sep
428,Galicia,Foreign,111030,2010,Aug
429,Galicia,Foreign,95953,2010,Jul
430,Galicia,Foreign,87775,2010,Jun
431,Galicia,Foreign,91029,2010,May
432,Galicia,Foreign,53729,2010,Apr
433,Galicia,Foreign,28352,2010,Mar
434,Galicia,Foreign,23366,2010,Feb
