,accommodation,year,month,travellers,nights,avg_stay
308,Campings,2004,Aug,111214.0,405825.0,3.7
309,Campings,2004,Sep,12328.0,49374.0,4.0
310,Campings,2004,Oct,1147.0,3039.0,2.7
311,Campings,2004,Nov,470.0,915.0,2.0
312,Campings,2004,Dec,404.0,944.0,2.3
313,Campings,2004,Dec,404.0,944.0,2.3
314,Campings,2005,Jan,259.0,528.0,2.0
315,Campings,2005,Feb,189.0,562.0,3.0
316,Campings,2005,Feb,189.0,562.0,3.0
317,Campings,2005,Mar,1037.0,3987.0,3.8
318,Campings,2005,Apr,1055.0,2406.0,2.3
319,Campings,2005,May,2928.0,6460.0,2.2
320,Campings,2005,Jun,20941.0,61773.0,3.0
321,Campings,2005,Jul,86520.0,306626.0,3.5
322,Campings,2005,Aug,129352.0,458426.0,3.5
323,Campings,2005,Sep,13967.0,51427.0,3.7
324,Campings,2005,Oct,660.0,1896.0,2.9
325,Campings,2005,Nov,268.0,1086.0,4.1
326,Campings,2005,Nov,268.0,1086.0,4.1
327,Campings,2005,Dec,216.0,547.0,2.5
328,Campings,2006,Jan,180.0,308.0,1.7
329,Campings,2006,Feb,332.0,552.0,1.7
330,Campings,2006,Mar,233.0,373.0,1.6
331,Campings,2006,Apr,4587.0,11778.0,2.6
332,Campings,2006,Apr,4587.0,11778.0,2.6
333,Campings,2006,May,3908.0,9450.0,2.4
334,Campings,2006,Jun,15713.0,58548.0,3.7
335,Campings,2006,Jul,79855.0,317104.0,4.0
336,Campings,2006,Aug,111009.0,406022.0,3.7
337,Campings,2006,Sep,12625.0,46211.0,3.7
338,Campings,2006,Oct,812.0,1848.0,2.3
339,Campings,2006,Nov,496.0,836.0,1.7
340,Campings,2006,Dec,416.0,876.0,2.1
341,Campings,2007,Jan,307.0,614.0,2.0
342,Campings,2007,Feb,482.0,929.0,1.9
343,Campings,2007,Mar,257.0,1365.0,5.3
344,Campings,2007,Apr,4524.0,12358.0,2.7
345,Campings,2007,May,4085.0,10049.0,2.5
346,Campings,2007,Jun,14140.0,48919.0,3.5
347,Campings,2007,Jul,69453.0,273888.0,3.9
348,Campings,2007,Aug,112094.0,410957.0,3.7
349,Campings,2007,Sep,14020.0,49720.0,3.6
350,Campings,2007,Oct,770.0,1544.0,2.0
351,Campings,2007,Nov,1403.0,2942.0,2.1
352,Campings,2007,Dec,371.0,754.0,2.0
353,Campings,2008,Jan,404.0,533.0,1.3
354,Campings,2008,Jan,404.0,533.0,1.3
355,Campings,2008,Feb,438.0,683.0,1.6
356,Campings,2008,Mar,2252.0,7187.0,3.2
357,Campings,2008,Apr,2128.0,8900.0,4.2
358,Campings,2008,May,3552.0,10823.0,3.1
359,Campings,2008,Jun,17017.0,61874.0,3.6
