"Viaxeiros, noites e estadía media por procedencia e tipo de aloxamento. España e Galicia. Datos mensuais"
"Número, días"


;;;;;;;
;España;;;Galicia;;;
;"Viaxeiros";"Noites";"Estadía media";"Viaxeiros";"Noites";"Estadía media";
"Todas as procedencias"
"Establecementos hoteleiros"
"2004/Xaneiro";118265;822877;7;145;234;1,6
"2004/Febreiro";124347;856119;6,9;211;386;1,8
"2004/Marzo";173369;918345;5,3;598;1021;1,7
"2004/Abril";511388;1822817;3,6;3177;8636;2,7
"2004/Maio";435567;1506089;3,5;3801;9007;2,4
"2004/Xuño";706362;2569531;3,6;16680;66754;4
"2004/Xullo";1528945;7135212;4,7;83159;291324;3,5
"2004/Agosto";2024089;10015139;5;111214;405825;3,7
"2004/Setembro";576064;2336328;4,1;12328;49374;4
"2004/Outubro";241568;992413;4,1;1147;3039;2,7
"2004/Novembro";119937;667004;5,6;470;915;2
"2004/Decembro";114025;777116;6,8;404;944;2,3
"2005/Xaneiro";100277;790165;7,9;259;528;2
"2005/Febreiro";107435;784462;7,3;189;562;3
"2005/Marzo";287099;1331933;4,6;1037;3987;3,8
"2005/Abril";350027;1192251;3,4;1055;2406;2,3
"2005/Maio";465980;1705624;3,7;2928;6460;2,2
"2005/Xuño";677969;2612369;3,9;20941;61773;3
"2005/Xullo";1588857;7597673;4,8;86520;306626;3,5
"2005/Agosto";1949574;10189336;5,2;129352;458426;3,5
"2005/Setembro";561031;2459804;4,4;13967;51427;3,7
"2005/Outubro";235984;1036814;4,4;660;1896;2,9
"2005/Novembro";119245;705068;5,9;268;1086;4,1
"2005/Decembro";112671;776902;6,9;216;547;2,5
"2006/Xaneiro";92770;756542;8,2;180;308;1,7
"2006/Febreiro";116201;789418;6,8;332;552;1,7
"2006/Marzo";180367;900987;5;233;373;1,6
"2006/Abril";582001;2104660;3,6;4587;11778;2,6
"2006/Maio";446392;1748061;3,9;3908;9450;2,4
"2006/Xuño";714251;2730533;3,8;15713;58548;3,7
"2006/Xullo";1580017;7628557;4,8;79855;317104;4
"2006/Agosto";1831383;10111193;5,5;111009;406022;3,7
"2006/Setembro";570086;2513990;4,4;12625;46211;3,7
"2006/Outubro";235619;1084943;4,6;812;1848;2,3
"2006/Novembro";126550;708085;5,6;496;836;1,7
"2006/Decembro";144111;845202;5,9;416;876;2,1
"2007/Xaneiro";92348;764924;8,3;307;614;2
"2007/Febreiro";120995;847154;7;482;929;1,9
"2007/Marzo";222568;1048252;4,7;257;1365;5,3
"2007/Abril";523728;2019608;3,9;4524;12358;2,7
"2007/Maio";433816;1741122;4;4085;10049;2,5
"2007/Xuño";728090;2767090;3,8;14140;48919;3,5
"2007/Xullo";1439517;7211117;5;69453;273888;3,9
"2007/Agosto";1824566;9732542;5,3;112094;410957;3,7
"2007/Setembro";559357;2484233;4,4;14020;49720;3,6
"2007/Outubro";239627;1103141;4,6;770;1544;2
"2007/Novembro";149208;803166;5,4;1403;2942;2,1
"2007/Decembro";123286;812383;6,6;371;754;2
"2008/Xaneiro";98588;804202;8,2;404;533;1,3
"2008/Febreiro";130851;867236;6,6;438;683;1,6
"2008/Marzo";346002;1611867;4,7;2252;7187;3,2
"2008/Abril";326294;1318818;4;2128;8900;4,2
"2008/Maio";455136;1883187;4,1;3552;10823;3,1
"2008/Xuño";677078;2678350;4;17017;61874;3,6
"2008/Xullo";1412116;7223874;5,1;71544;277925;3,9
"2008/Agosto";1836059;9658701;5,3;105991;395695;3,7
"2008/Setembro";526153;2430331;4,6;11432;52746;4,6
"2008/Outubro";214447;1064457;5;633;1491;2,4
"2008/Novembro";123931;750743;6,1;532;1034;1,9
"2008/Decembro";114244;778684;6,8;221;432;2
"2009/Xaneiro";94151;806483;8,6;126;169;1,3
"2009/Febreiro";114637;831897;7,3;356;578;1,6
"2009/Marzo";197558;1032910;5,2;935;1717;1,8
"2009/Abril";473928;1800424;3,8;4412;14013;3,2
"2009/Maio";474931;1866665;3,9;4134;15136;3,7
"2009/Xuño";659521;2687509;4,1;18302;66531;3,6
"2009/Xullo";1413583;6922832;4,9;66835;272361;4,1
"2009/Agosto";1754069;9378956;5,4;103423;401702;3,9
"2009/Setembro";510723;2453471;4,8;15848;67740;4,3
"2009/Outubro";262725;1186459;4,5;876;1907;2,2
"2009/Novembro";114480;740855;6,5;347;708;2
"2009/Decembro";109308;810821;7,4;225;464;2,1
"2010/Xaneiro";90918;812621;8,9;166;310;1,9
"2010/Febreiro";103496;823502;8;268;475;1,8
"2010/Marzo";215418;1083884;5;1335;2303;1,7
"2010/Abril";439940;1768155;4;4137;10967;2,7
"2010/Maio";462850;1887968;4,1;4679;11073;2,4
"2010/Xuño";655687;2781886;4,2;17377;62442;3,6
"2010/Xullo";1407573;6972649;5;77417;287387;3,7
"2010/Agosto";1761470;9530380;5,4;119043;437695;3,7
"2010/Setembro";514243;2394160;4,7;17381;61496;3,5
"2010/Outubro";256015;1235425;4,8;1052;2348;2,2
"2010/Novembro";101891;731304;7,2;330;652;2
"2010/Decembro";105562;787259;7,5;147;322;2,2
"2011/Xaneiro";89311;793632;8,9;223;363;1,6
"2011/Febreiro";111076;823785;7,4;352;557;1,6
"2011/Marzo";175935;972881;5,5;420;799;1,9
"2011/Abril";484355;1934737;4;4712;14242;3
"2011/Maio";412952;1802880;4,4;4461;13167;3
"2011/Xuño";696694;3026241;4,3;19665;74681;3,8
"2011/Xullo";1421490;7156946;5;79498;287296;3,6
"2011/Agosto";1723808;9702106;5,6;110500;413736;3,7
"2011/Setembro";566683;2701367;4,8;15368;55416;3,6
"2011/Outubro";247246;1212767;4,9;1215;2097;1,7
"2011/Novembro";113638;745304;6,6;392;598;1,5
"2011/Decembro";106091;797318;7,5;119;235;2
"2012/Xaneiro";89644;825316;9,2;207;387;1,9
"2012/Febreiro";102064;856494;8,4;386;667;1,7
"2012/Marzo";193058;1011813;5,2;886;1392;1,6
"2012/Abril";439009;1806114;4,1;4108;12919;3,2
"2012/Maio";415902;1814610;4,4;3295;10195;3,1
"2012/Xuño";705262;2978592;4,2;17871;65950;3,7
"2012/Xullo";1318630;7127421;5,4;68559;260889;3,8
"2012/Agosto";1655465;9508455;5,7;99587;374988;3,8
"2012/Setembro";555144;2703364;4,9;16361;57540;3,5
"2012/Outubro";223562;1163702;5,2;1019;1869;1,8
"2012/Novembro";114562;758380;6,6;362;638;1,8
"2012/Decembro";101500;784353;7,7;275;557;2
"2013/Xaneiro";85028;814103;9,6;94;169;1,8
"2013/Febreiro";103405;848236;8,2;195;342;1,8
"2013/Marzo";325194;1519930;4,7;998;2900;2,9
"2013/Abril";325761;1346309;4,1;1396;4303;3,1
"2013/Maio";459009;1949965;4,3;4281;10572;2,5
"2013/Xuño";727879;3054006;4,2;18914;65024;3,4
"2013/Xullo";1297028;6944792;5,4;65622;251534;3,8
"2013/Agosto";1684224;9283676;5,5;108001;391129;3,6
"2013/Setembro";544101;2642922;4,9;16971;56565;3,3
"2013/Outubro";252842;1239600;4,9;953;1746;1,8
"2013/Novembro";138543;863336;6,2;596;1019;1,7
"2013/Decembro";114503;869469;7,6;324;667;2,1
"2014/Xaneiro";95617;896733;9,4;150;215;1,4
"2014/Febreiro";118020;930958;7,9;191;262;1,4
"2014/Marzo";197143;1071503;5,4;505;945;1,9
"2014/Abril";506324;2017976;4;4067;10207;2,5
"2014/Maio";502257;2035294;4,1;5653;13123;2,3
"2014/Xuño";736412;3119138;4,2;19383;68400;3,5
"2014/Xullo";1280236;6670914;5,2;67618;265287;3,9
"2014/Agosto";1751010;9456800;5,4;106444;389806;3,7
"2014/Setembro";596184;2966772;5;15372;59795;3,9
"2014/Outubro";280913;1409828;5;1099;1922;1,8
"2014/Novembro";134657;824127;6,1;578;929;1,6
"2014/Decembro";133657;909416;6,8;290;670;2,3
"2015/Xaneiro";108857;935746;8,6;155;305;2
"2015/Febreiro";122045;970333;8;175;325;1,9
"2015/Marzo";229662;1184714;5,2;1133;2193;1,9
"2015/Abril";520566;2154494;4,1;3923;12389;3,2
"2015/Maio";572831;2358476;4,1;6227;17080;2,7
"2015/Xuño";771210;3182138;4,1;30344;94748;3,1
"2015/Xullo";1393435;7195222;5,2;77713;281292;3,6
"2015/Agosto";1761039;9708860;5,5;93540;360648;3,9
"2015/Setembro";624927;3158886;5,1;16637;62629;3,8
"2015/Outubro";330429;1611881;4,9;833;1660;2
"2015/Novembro";144231;932142;6,5;453;765;1,7
"2015/Decembro";142860;998847;7;234;486;2,1
"2016/Xaneiro";131205;1021248;7,8;144;274;1,9
"2016/Febreiro";148540;1070824;7,2;263;457;1,7
"2016/Marzo";440747;2001701;4,5;2080;5756;2,8
"2016/Abril";409948;1777512;4,3;2755;8579;3,1
"2016/Maio";544134;2346489;4,3;4587;12359;2,7
"2016/Xuño";842461;3457378;4,1;28293;96150;3,4
"2016/Xullo";1570332;7525715;4,8;90415;336620;3,7
"2016/Agosto";1928035;10425181;5,4;117695;433567;3,7
"2016/Setembro";732888;3345245;4,6;24427;66173;2,7
"2016/Outubro";350383;1707881;4,9;1201;2570;2,1
"2016/Novembro";146465;943648;6,4;492;898;1,8
"2016/Decembro";150829;1045719;6,9;157;238;1,5
"2017/Xaneiro";126522;1069081;8,5;115;251;2,2
