Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Polonia	2019T1	91,82
Galicia	Polonia	2018T4	114,10
Galicia	Polonia	2018T3	163,91
Galicia	Polonia	2018T2	147,51
Galicia	Polonia	2018T1	154,80
Galicia	Portugal	2022T1	255,06
Galicia	Portugal	2021T4	219,51
Galicia	Portugal	2021T3	178,88
Galicia	Portugal	2021T2	149,52
Galicia	Portugal	2021T1	126,14
Galicia	Portugal	2020T4	130,51
Galicia	Portugal	2020T3	131,96
Galicia	Portugal	2020T2	.
Galicia	Portugal	2020T1	202,42
Galicia	Portugal	2019T4	233,55
Galicia	Portugal	2019T3	220,15
Galicia	Portugal	2019T2	211,47
Galicia	Portugal	2019T1	135,95
Galicia	Portugal	2018T4	178,25
Galicia	Portugal	2018T3	217,93
Galicia	Portugal	2018T2	194,48
Galicia	Portugal	2018T1	209,32
Galicia	Reino Unido	2022T1	180,07
Galicia	Reino Unido	2021T4	170,69
Galicia	Reino Unido	2021T3	156,32
Galicia	Reino Unido	2021T2	131,45
Galicia	Reino Unido	2021T1	117,70
Galicia	Reino Unido	2020T4	125,04
Galicia	Reino Unido	2020T3	120,29
Galicia	Reino Unido	2020T2	.
Galicia	Reino Unido	2020T1	198,84
Galicia	Reino Unido	2019T4	242,22
Galicia	Reino Unido	2019T3	245,16
Galicia	Reino Unido	2019T2	233,28
Galicia	Reino Unido	2019T1	136,75
Galicia	Reino Unido	2018T4	213,58
Galicia	Reino Unido	2018T3	282,14
Galicia	Reino Unido	2018T2	238,51
Galicia	Reino Unido	2018T1	242,65
Galicia	Rumanía	2022T1	136,40
Galicia	Rumanía	2021T4	135,33
Galicia	Rumanía	2021T3	127,07
Galicia	Rumanía	2021T2	107,31
Galicia	Rumanía	2021T1	79,76
Galicia	Rumanía	2020T4	93,45
Galicia	Rumanía	2020T3	98,04
Galicia	Rumanía	2020T2	.
Galicia	Rumanía	2020T1	150,37
Galicia	Rumanía	2019T4	195,08
Galicia	Rumanía	2019T3	202,54
Galicia	Rumanía	2019T2	166,04
Galicia	Rumanía	2019T1	117,22
Galicia	Rumanía	2018T4	176,26
Galicia	Rumanía	2018T3	220,46
Galicia	Rumanía	2018T2	169,76
Galicia	Rumanía	2018T1	184,38
Galicia	Rusia	2022T1	269,69
Galicia	Rusia	2021T4	171,05
Galicia	Rusia	2021T3	149,06
Galicia	Rusia	2021T2	128,12
Galicia	Rusia	2021T1	115,65
Galicia	Rusia	2020T4	116,63
Galicia	Rusia	2020T3	121,78
Galicia	Rusia	2020T2	.
Galicia	Rusia	2020T1	171,50
Galicia	Rusia	2019T4	191,85
Galicia	Rusia	2019T3	173,93
Galicia	Rusia	2019T2	160,83
Galicia	Rusia	2019T1	102,15
Galicia	Rusia	2018T4	157,58
Galicia	Rusia	2018T3	193,26
Galicia	Rusia	2018T2	192,20
Galicia	Rusia	2018T1	207,18
Galicia	Suecia	2022T1	170,97
Galicia	Suecia	2021T4	168,61
Galicia	Suecia	2021T3	161,23
Galicia	Suecia	2021T2	131,58
Galicia	Suecia	2021T1	101,22
Galicia	Suecia	2020T4	91,44
Galicia	Suecia	2020T3	120,21
Galicia	Suecia	2020T2	.
Galicia	Suecia	2020T1	181,27
Galicia	Suecia	2019T4	223,39
Galicia	Suecia	2019T3	215,74
Galicia	Suecia	2019T2	204,18
Galicia	Suecia	2019T1	123,82
Galicia	Suecia	2018T4	188,12
Galicia	Suecia	2018T3	226,49
Galicia	Suecia	2018T2	196,39
Galicia	Suecia	2018T1	185,22
Galicia	Suiza	2022T1	444,40
Galicia	Suiza	2021T4	398,55
Galicia	Suiza	2021T3	311,30
Galicia	Suiza	2021T2	300,74
Galicia	Suiza	2021T1	343,70
Galicia	Suiza	2020T4	348,90
Galicia	Suiza	2020T3	291,51
Galicia	Suiza	2020T2	.
Galicia	Suiza	2020T1	496,27
Galicia	Suiza	2019T4	505,99
Galicia	Suiza	2019T3	444,32
Galicia	Suiza	2019T2	434,75
Galicia	Suiza	2019T1	325,19
Galicia	Suiza	2018T4	409,66
Galicia	Suiza	2018T3	448,74
Galicia	Suiza	2018T2	443,77
Galicia	Suiza	2018T1	560,28
Galicia	Otros Países Europeos	2022T1	154,48
Galicia	Otros Países Europeos	2021T4	145,03
Galicia	Otros Países Europeos	2021T3	138,60
Galicia	Otros Países Europeos	2021T2	146,04
Galicia	Otros Países Europeos	2021T1	110,42
Galicia	Otros Países Europeos	2020T4	112,90
Galicia	Otros Países Europeos	2020T3	121,51
Galicia	Otros Países Europeos	2020T2	.
Galicia	Otros Países Europeos	2020T1	181,44
Galicia	Otros Países Europeos	2019T4	202,43
Galicia	Otros Países Europeos	2019T3	193,42
Galicia	Otros Países Europeos	2019T2	187,43
Galicia	Otros Países Europeos	2019T1	122,88
Galicia	Otros Países Europeos	2018T4	173,57
Galicia	Otros Países Europeos	2018T3	213,30
Galicia	Otros Países Europeos	2018T2	193,76
Galicia	Otros Países Europeos	2018T1	212,89
Galicia	Argentina	2022T1	150,97
Galicia	Argentina	2021T4	139,47
Galicia	Argentina	2021T3	117,13
Galicia	Argentina	2021T2	92,68
Galicia	Argentina	2021T1	75,09
Galicia	Argentina	2020T4	83,40
Galicia	Argentina	2020T3	83,97
Galicia	Argentina	2020T2	.
Galicia	Argentina	2020T1	124,63
Galicia	Argentina	2019T4	178,12
Galicia	Argentina	2019T3	180,60
Galicia	Argentina	2019T2	175,05
Galicia	Argentina	2019T1	107,35
Galicia	Argentina	2018T4	159,70
Galicia	Argentina	2018T3	193,62
Galicia	Argentina	2018T2	186,06
Galicia	Argentina	2018T1	218,92
Galicia	Brasil	2022T1	272,23
Galicia	Brasil	2021T4	245,37
Galicia	Brasil	2021T3	248,78
Galicia	Brasil	2021T2	210,80
Galicia	Brasil	2021T1	159,18
Galicia	Brasil	2020T4	184,86
Galicia	Brasil	2020T3	155,94
Galicia	Brasil	2020T2	.
Galicia	Brasil	2020T1	247,56
Galicia	Brasil	2019T4	296,60
Galicia	Brasil	2019T3	272,45
Galicia	Brasil	2019T2	263,35
Galicia	Brasil	2019T1	179,94
Galicia	Brasil	2018T4	228,37
Galicia	Brasil	2018T3	251,81
Galicia	Brasil	2018T2	236,23
Galicia	Brasil	2018T1	275,71
Galicia	Canadá	2022T1	356,46
Galicia	Canadá	2021T4	267,50
Galicia	Canadá	2021T3	247,99
Galicia	Canadá	2021T2	350,12
Galicia	Canadá	2021T1	277,08
Galicia	Canadá	2020T4	287,60
Galicia	Canadá	2020T3	223,99
Galicia	Canadá	2020T2	.
Galicia	Canadá	2020T1	314,25
Galicia	Canadá	2019T4	330,57
Galicia	Canadá	2019T3	264,00
Galicia	Canadá	2019T2	275,19
Galicia	Canadá	2019T1	203,65
Galicia	Canadá	2018T4	278,86
Galicia	Canadá	2018T3	286,67
Galicia	Canadá	2018T2	273,76
Galicia	Canadá	2018T1	339,54
Galicia	Chile	2022T1	186,76
Galicia	Chile	2021T4	195,59
Galicia	Chile	2021T3	207,07
Galicia	Chile	2021T2	194,93
Galicia	Chile	2021T1	155,28
Galicia	Chile	2020T4	165,44
Galicia	Chile	2020T3	167,71
Galicia	Chile	2020T2	.
Galicia	Chile	2020T1	211,17
Galicia	Chile	2019T4	275,98
Galicia	Chile	2019T3	294,49
Galicia	Chile	2019T2	276,73
Galicia	Chile	2019T1	190,59
Galicia	Chile	2018T4	291,62
Galicia	Chile	2018T3	334,97
Galicia	Chile	2018T2	310,28
Galicia	Chile	2018T1	397,57
Galicia	Colombia	2022T1	215,96
Galicia	Colombia	2021T4	223,82
Galicia	Colombia	2021T3	267,42
Galicia	Colombia	2021T2	204,87
Galicia	Colombia	2021T1	208,85
Galicia	Colombia	2020T4	232,14
Galicia	Colombia	2020T3	195,72
Galicia	Colombia	2020T2	.
Galicia	Colombia	2020T1	310,03
Galicia	Colombia	2019T4	327,63
Galicia	Colombia	2019T3	358,52
Galicia	Colombia	2019T2	307,91
Galicia	Colombia	2019T1	285,16
Galicia	Colombia	2018T4	309,05
Galicia	Colombia	2018T3	372,77
Galicia	Colombia	2018T2	334,60
Galicia	Colombia	2018T1	397,06
Galicia	Estados Unidos de América	2022T1	330,50
Galicia	Estados Unidos de América	2021T4	282,93
Galicia	Estados Unidos de América	2021T3	265,46
Galicia	Estados Unidos de América	2021T2	333,94
Galicia	Estados Unidos de América	2021T1	205,21
Galicia	Estados Unidos de América	2020T4	204,20
Galicia	Estados Unidos de América	2020T3	220,05
Galicia	Estados Unidos de América	2020T2	.
Galicia	Estados Unidos de América	2020T1	314,08
Galicia	Estados Unidos de América	2019T4	344,18
Galicia	Estados Unidos de América	2019T3	331,40
Galicia	Estados Unidos de América	2019T2	321,29
Galicia	Estados Unidos de América	2019T1	237,88
Galicia	Estados Unidos de América	2018T4	288,12
Galicia	Estados Unidos de América	2018T3	346,69
Galicia	Estados Unidos de América	2018T2	293,18
Galicia	Estados Unidos de América	2018T1	346,31
Galicia	México	2022T1	454,05
Galicia	México	2021T4	413,76
Galicia	México	2021T3	386,32
Galicia	México	2021T2	351,31
Galicia	México	2021T1	297,42
Galicia	México	2020T4	335,84
Galicia	México	2020T3	287,99
Galicia	México	2020T2	.
Galicia	México	2020T1	369,09
Galicia	México	2019T4	453,56
Galicia	México	2019T3	459,95
Galicia	México	2019T2	413,28
Galicia	México	2019T1	266,09
Galicia	México	2018T4	377,06
Galicia	México	2018T3	457,56
Galicia	México	2018T2	363,13
Galicia	México	2018T1	397,11
Galicia	Resto de América	2022T1	294,32
Galicia	Resto de América	2021T4	278,05
Galicia	Resto de América	2021T3	282,79
Galicia	Resto de América	2021T2	226,28
Galicia	Resto de América	2021T1	177,94
Galicia	Resto de América	2020T4	190,51
Galicia	Resto de América	2020T3	209,42
Galicia	Resto de América	2020T2	.
Galicia	Resto de América	2020T1	325,60
