Totales Territoriales	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M12	493
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M11	166
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M10	492
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M09	814
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M08	8.941
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M07	7.667
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M06	1.879
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M05	521
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M04	337
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M03	440
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M02	186
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M01	310
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M12	145
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M11	508
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M10	618
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M09	340
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M08	8.063
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M07	6.852
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M06	1.721
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M05	467
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M04	910
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M03	182
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M02	124
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M01	159
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M12	179
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M11	216
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M10	465
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M09	940
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M08	13.270
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M07	8.577
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M06	2.784
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M05	1.100
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M04	1.369
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M03	365
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M02	74
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M01	43
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M08	89.629
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M07	76.631
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M06	95.008
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M05	74.115
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M04	36.100
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M03	7.150
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M02	2.732
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M01	1.422
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M12	1.649
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M11	3.749
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M10	34.187
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M09	40.486
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M08	36.254
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M07	32.006
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M06	13.001
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M05	1.496
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M04	325
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M03	50
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2021M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M12	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M11	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M10	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M09	236
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M08	276
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M07	27
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M06	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M05	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M04	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M03	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2020M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M12	93
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M11	227
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M10	719
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M09	1.008
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M08	1.899
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M07	1.323
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M06	1.211
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M05	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M04	34
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M03	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2019M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M12	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M11	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M10	46
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M09	60
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M08	98
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M07	218
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M06	54
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M05	126
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M04	87
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M03	77
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2018M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M12	49
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M11	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M10	46
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M09	126
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M08	253
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M07	412
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M06	73
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M05	94
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M04	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M03	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2017M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M12	28
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M11	14
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M10	68
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M09	130
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M08	261
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M07	237
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M06	66
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M05	54
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M04	85
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M03	14
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M02	18
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2016M01	5
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M12	15
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M11	12
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M10	51
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M09	90
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M08	122
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2015M07	376
