Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M12	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M11	2,08
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M10	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M09	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M08	2,23
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M07	2,10
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M06	1,81
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M05	1,83
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M04	1,91
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M03	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M02	1,99
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2013M01	1,95
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M12	1,93
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M11	2,11
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M10	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M09	2,01
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M08	2,33
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M07	2,25
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M06	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M05	1,93
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M04	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M03	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M02	1,86
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2012M01	1,92
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M12	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M11	2,15
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M10	2,10
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M09	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M08	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M07	2,28
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M06	2,04
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M05	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M04	2,12
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M03	2,05
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M02	1,99
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2011M01	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M12	2,01
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M11	2,10
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2010M10	2,12
