Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M06	273.485
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M05	221.350
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M04	214.954
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M03	177.739
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M02	132.654
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M01	114.604
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M12	143.794
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M11	156.078
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M10	232.581
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M09	286.817
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M08	479.843
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M07	340.620
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M06	234.163
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M05	209.214
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M04	204.276
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M03	147.056
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M02	129.189
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M01	105.476
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M12	139.117
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M11	156.933
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M10	208.133
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M09	270.135
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M08	451.989
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M07	325.560
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M06	227.905
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M05	196.695
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M04	157.662
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M03	178.499
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M02	118.884
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2013M01	113.740
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M12	133.041
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M11	153.029
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M10	218.505
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M09	252.680
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M08	398.558
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M07	293.436
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M06	226.777
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M05	182.177
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M04	206.239
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M03	156.904
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M02	138.387
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2012M01	113.860
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M12	140.786
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M11	151.606
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M10	232.510
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M09	275.096
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M08	417.788
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M07	343.931
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M06	243.176
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M05	201.701
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M04	215.276
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M03	160.293
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M02	132.340
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2011M01	116.959
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M12	166.347
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M11	186.311
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M10	291.408
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M09	326.117
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M08	451.126
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M07	364.717
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M06	292.478
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M05	262.904
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M04	248.503
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M03	201.437
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M02	147.111
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2010M01	125.731
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M12	155.555
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M11	171.658
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M10	254.540
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M09	282.148
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M08	436.526
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M07	327.882
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M06	239.428
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M05	221.102
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M04	214.435
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M03	174.744
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M02	147.568
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2009M01	131.600
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M12	149.259
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M11	179.452
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M10	251.234
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M09	267.969
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M08	418.257
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M07	324.767
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M06	246.229
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M05	244.517
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M04	205.601
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M03	230.286
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M02	171.467
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2008M01	150.410
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M12	172.760
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M11	205.599
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M10	276.480
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M09	303.405
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M08	457.726
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M07	351.175
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M06	258.681
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M05	222.944
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M04	252.003
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M03	202.108
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M02	154.763
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2007M01	150.174
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M12	165.020
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M11	188.688
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M10	246.768
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M09	286.742
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M08	442.343
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M07	356.589
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M06	264.688
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M05	231.881
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M04	260.980
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M03	194.813
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M02	157.591
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2006M01	148.675
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M12	164.919
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M11	197.524
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M10	240.793
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M09	295.630
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M08	468.195
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M07	365.832
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M06	254.693
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M05	223.232
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M04	200.809
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M03	214.316
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M02	146.436
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2005M01	130.891
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M12	172.007
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M11	193.019
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M10	290.065
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M09	338.609
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M08	468.415
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2004M07	361.781
