Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M12	166.347
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M11	186.311
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M10	291.408
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M09	326.117
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M08	451.126
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M07	364.717
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M06	292.478
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M05	262.904
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M04	248.503
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M03	201.437
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M02	147.111
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2010M01	125.731
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M12	155.555
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M11	171.658
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M10	254.540
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M09	282.148
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M08	436.526
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M07	327.882
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M06	239.428
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M05	221.102
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M04	214.435
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M03	174.744
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M02	147.568
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2009M01	131.600
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M12	149.259
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M11	179.452
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M10	251.234
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M09	267.969
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M08	418.257
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M07	324.767
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M06	246.229
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M05	244.517
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M04	205.601
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M03	230.286
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M02	171.467
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2008M01	150.410
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M12	172.760
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M11	205.599
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M10	276.480
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M09	303.405
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M08	457.726
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M07	351.175
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M06	258.681
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M05	222.944
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M04	252.003
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M03	202.108
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M02	154.763
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2007M01	150.174
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M12	165.020
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M11	188.688
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M10	246.768
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M09	286.742
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M08	442.343
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M07	356.589
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M06	264.688
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M05	231.881
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M04	260.980
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M03	194.813
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M02	157.591
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2006M01	148.675
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M12	164.919
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M11	197.524
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M10	240.793
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M09	295.630
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M08	468.195
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M07	365.832
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M06	254.693
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M05	223.232
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M04	200.809
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M03	214.316
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M02	146.436
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2005M01	130.891
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M12	172.007
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M11	193.019
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M10	290.065
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M09	338.609
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M08	468.415
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M07	361.781
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M06	295.654
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M05	254.221
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M04	244.930
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M03	186.054
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M02	151.684
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2004M01	132.698
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M12	142.905
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M11	158.651
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M10	212.470
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M09	284.889
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M08	425.793
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M07	294.373
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M06	220.996
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M05	195.477
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M04	182.461
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M03	155.501
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M02	123.509
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2003M01	122.462
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M12	123.353
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M11	136.043
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M10	183.697
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M09	208.683
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M08	377.593
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M07	251.747
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M06	177.250
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M05	157.533
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M04	146.223
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M03	166.786
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M02	113.314
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2002M01	96.185
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M12	121.860
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M11	140.210
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M10	176.900
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M09	213.581
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M08	355.364
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M07	239.528
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M06	171.601
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M05	147.902
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M04	158.236
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M03	129.918
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M02	106.581
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2001M01	101.507
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M12	111.547
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M11	133.746
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M10	182.174
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M09	223.686
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M08	357.343
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M07	242.160
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M06	171.872
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M05	148.324
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M04	165.329
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M03	129.654
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M02	114.555
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2000M01	98.445
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	1999M12	141.135
