Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2022M05	24.951
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2022M04	27.115
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2022M03	20.092
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2022M02	20.004
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2022M01	13.496
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M12	19.722
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M11	21.166
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M10	27.606
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M09	28.985
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M08	39.765
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M07	29.725
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M06	19.174
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M05	17.149
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M04	14.687
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M03	12.148
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M02	6.118
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2021M01	6.801
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M12	8.972
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M11	7.451
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M10	11.576
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M09	19.120
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M08	29.238
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M07	18.086
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M06	8.032
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M05	876
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M04	0
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M03	13.581
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M02	23.480
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2020M01	17.556
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M12	22.353
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M11	25.953
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M10	28.890
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M09	30.828
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M08	39.201
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M07	31.322
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M06	25.377
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M05	24.912
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M04	28.410
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M03	25.776
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M02	18.899
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2019M01	15.911
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M12	19.594
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M11	24.376
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M10	27.644
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M09	28.992
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M08	35.014
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M07	25.989
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M06	25.353
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M05	23.998
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M04	23.238
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M03	27.344
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M02	19.677
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2018M01	16.645
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M12	18.433
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M11	21.527
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M10	25.301
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M09	26.953
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M08	35.370
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M07	28.142
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M06	24.524
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M05	22.379
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M04	25.163
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M03	20.195
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M02	18.141
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2017M01	16.123
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M12	18.697
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M11	21.741
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M10	26.615
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M09	25.401
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M08	36.118
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M07	24.954
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M06	24.068
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M05	21.699
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M04	19.408
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M03	26.010
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M02	18.701
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2016M01	15.891
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M12	17.255
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M11	20.173
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M10	24.099
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M09	25.945
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M08	33.389
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M07	25.656
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M06	21.337
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M05	19.382
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M04	21.167
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M03	19.392
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M02	18.645
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2015M01	14.763
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M12	16.291
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M11	19.369
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M10	21.162
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M09	24.201
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M08	31.354
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M07	22.168
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M06	20.632
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M05	19.254
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M04	19.155
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M03	17.648
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M02	15.500
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2014M01	12.375
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M12	14.887
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M11	19.221
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M10	20.594
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M09	22.878
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M08	29.110
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M07	21.675
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M06	20.904
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M05	21.244
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M04	18.340
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M03	21.174
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M02	17.039
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2013M01	14.971
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M12	15.565
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M11	20.263
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M10	23.846
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M09	23.562
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M08	29.196
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M07	22.666
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M06	21.236
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M05	19.790
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M04	21.639
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M03	18.564
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M02	16.415
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2012M01	13.230
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M12	18.616
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M11	20.251
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M10	26.053
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M09	27.027
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M08	32.839
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M07	26.135
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M06	23.119
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M05	20.692
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M04	22.787
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M03	22.644
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M02	16.567
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2011M01	13.988
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M12	18.485
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M11	20.014
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M10	26.212
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M09	23.959
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M08	29.405
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M07	25.410
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M06	23.317
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M05	24.226
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M04	22.529
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M03	21.356
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M02	18.133
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2010M01	14.797
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M12	19.324
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M11	19.595
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M10	24.959
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M09	24.103
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M08	29.775
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M07	24.228
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M06	22.971
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M05	22.885
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M04	22.012
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M03	20.120
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M02	18.822
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2009M01	14.520
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M12	20.773
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M11	22.936
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M10	26.488
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M09	23.482
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M08	32.486
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M07	28.328
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M06	25.808
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M05	25.759
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M04	24.166
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M03	26.314
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M02	20.622
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2008M01	16.837
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M12	21.220
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M11	23.839
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M10	25.684
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M09	26.457
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M08	31.895
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M07	27.228
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M06	25.057
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M05	22.185
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M04	23.977
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M03	22.390
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M02	18.749
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2007M01	17.241
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M12	17.967
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M11	21.523
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M10	24.540
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M09	24.834
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M08	33.059
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M07	26.258
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M06	25.129
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M05	23.155
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M04	26.216
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M03	21.582
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M02	18.898
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2006M01	16.088
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M12	17.993
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M11	20.774
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M10	25.404
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M09	27.121
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M08	34.343
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M07	28.664
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M06	26.348
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M05	25.633
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M04	22.230
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M03	22.693
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M02	17.617
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2005M01	16.001
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M12	16.466
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M11	19.383
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M10	26.776
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M09	26.335
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M08	32.152
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M07	23.217
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M06	22.365
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M05	21.929
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M04	22.096
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M03	20.216
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M02	17.051
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2004M01	14.540
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M12	16.167
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M11	17.340
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M10	19.454
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M09	21.331
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M08	27.702
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M07	21.047
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M06	21.798
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M05	19.470
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M04	19.796
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M03	18.343
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M02	18.282
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2003M01	17.914
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M12	12.411
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M11	14.466
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M10	16.502
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M09	17.001
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M08	23.384
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M07	17.656
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M06	15.868
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M05	14.627
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M04	12.126
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M03	16.672
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M02	13.219
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2002M01	10.941
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M12	11.243
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M11	14.729
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M10	14.985
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M09	16.646
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M08	21.929
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M07	15.247
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M06	14.171
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M05	11.608
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M04	14.897
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M03	12.162
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M02	10.309
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2001M01	10.469
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M12	8.910
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M11	12.852
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M10	13.174
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M09	13.964
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M08	20.119
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M07	13.603
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M06	13.104
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M05	12.141
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M04	13.348
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M03	11.234
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M02	9.486
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2000M01	7.931
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M12	10.986
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M11	11.434
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M10	15.141
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M09	17.652
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M08	19.959
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M07	18.696
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M06	15.705
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M05	11.014
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M04	10.730
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M03	9.518
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M02	7.107
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	1999M01	8.749
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M08	5.494
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M07	3.923
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M06	4.160
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M05	3.627
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M04	2.641
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M03	1.571
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M02	1.742
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2022M01	1.014
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M12	1.290
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M11	1.749
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M10	3.191
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M09	2.998
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M08	3.603
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M07	2.183
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M06	2.243
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M05	1.158
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M04	1.054
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M03	640
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2021M02	558
