accommodation_type,year,month,travellers_Spain,travellers_Foreign,total_travellers,nights_Spain,nights_Foreign,total_nights,avg_days
Albergue,2021,Aug,98206,36254,134460,113703,42395,156098,1.16
Albergue,2021,Jul,84906,32006,116912,103040,41351,144391,1.24
Albergue,2021,Jun,27007,13001,40008,32557,15927,48484,1.21
Albergue,2021,May,3277,1496,4773,4095,1610,5705,1.2
Albergue,2021,Apr,1244,325,1569,1632,774,2406,1.53
Albergue,2021,Mar,504,50,554,881,81,962,1.74
Albergue,2021,Feb,-1,-1,-2,-1,-1,-2,1.0
Albergue,2021,Jan,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Dec,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Nov,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Oct,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Sep,587,236,823,1720,257,1977,2.4
Albergue,2020,Aug,1130,276,1406,4586,311,4897,3.48
Albergue,2020,Jul,561,27,588,2818,94,2912,4.95
Albergue,2020,Jun,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,May,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Apr,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Mar,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Feb,-1,-1,-2,-1,-1,-2,1.0
Albergue,2020,Jan,-1,-1,-2,-1,-1,-2,1.0
Albergue,2019,Dec,401,93,494,1117,115,1232,2.49
Albergue,2019,Nov,387,227,614,624,245,869,1.42
Albergue,2019,Oct,938,719,1657,3189,810,3999,2.41
Albergue,2019,Sep,784,1008,1792,1914,1125,3039,1.7
Albergue,2019,Aug,1302,1899,3201,3712,2359,6071,1.9
Albergue,2019,Jul,2378,1323,3701,10997,2451,13448,3.63
Albergue,2019,Jun,1185,1211,2396,3382,1598,4980,2.08
Albergue,2019,May,-1,-1,-2,-1,-1,-2,1.0
Albergue,2019,Apr,445,34,479,929,117,1046,2.18
Albergue,2019,Mar,-1,-1,-2,-1,-1,-2,1.0
Albergue,2019,Feb,-1,-1,-2,-1,-1,-2,1.0
Albergue,2019,Jan,-1,-1,-2,-1,-1,-2,1.0
Albergue,2018,Dec,-1,-1,-2,-1,-1,-2,1.0
Albergue,2018,Nov,-1,-1,-2,-1,-1,-2,1.0
Albergue,2018,Oct,399,46,445,588,140,728,1.64
Albergue,2018,Sep,425,60,485,1670,122,1792,3.69
Albergue,2018,Aug,1454,98,1552,10984,195,11179,7.2
Albergue,2018,Jul,985,218,1203,9848,1023,10871,9.04
Albergue,2018,Jun,1221,54,1275,3085,238,3323,2.61
Albergue,2018,May,478,126,604,546,126,672,1.11
Albergue,2018,Apr,334,87,421,945,172,1117,2.65
Albergue,2018,Mar,339,77,416,611,84,695,1.67
Albergue,2018,Feb,-1,-1,-2,-1,-1,-2,1.0
Albergue,2018,Jan,-1,-1,-2,-1,-1,-2,1.0
Albergue,2017,Dec,147,49,196,250,161,411,2.1
Albergue,2017,Nov,-1,-1,-2,-1,-1,-2,1.0
Albergue,2017,Oct,250,46,296,373,148,521,1.76
Albergue,2017,Sep,346,126,472,1018,305,1323,2.8
Albergue,2017,Aug,1781,253,2034,11783,302,12085,5.94
Albergue,2017,Jul,1489,412,1901,9379,1710,11089,5.83
Albergue,2017,Jun,1119,73,1192,3250,115,3365,2.82
Albergue,2017,May,206,94,300,366,186,552,1.84
Albergue,2017,Apr,-1,-1,-2,-1,-1,-2,1.0
Albergue,2017,Mar,-1,-1,-2,-1,-1,-2,1.0
Albergue,2017,Feb,-1,-1,-2,-1,-1,-2,1.0
Albergue,2017,Jan,-1,-1,-2,-1,-1,-2,1.0
Albergue,2016,Dec,263,28,291,493,53,546,1.88
Albergue,2016,Nov,131,14,145,166,20,186,1.28
Albergue,2016,Oct,310,68,378,492,91,583,1.54
Albergue,2016,Sep,441,130,571,814,159,973,1.7
Albergue,2016,Aug,1562,261,1823,8941,293,9234,5.07
Albergue,2016,Jul,1209,237,1446,7667,1000,8667,5.99
Albergue,2016,Jun,691,66,757,1879,70,1949,2.57
Albergue,2016,May,424,54,478,521,71,592,1.24
Albergue,2016,Apr,162,85,247,337,88,425,1.72
Albergue,2016,Mar,236,14,250,440,20,460,1.84
Albergue,2016,Feb,137,18,155,186,21,207,1.34
Albergue,2016,Jan,214,5,219,310,11,321,1.47
Albergue,2015,Dec,108,15,123,145,27,172,1.4
Albergue,2015,Nov,393,12,405,508,20,528,1.3
Albergue,2015,Oct,393,51,444,618,65,683,1.54
Albergue,2015,Sep,273,90,363,340,124,464,1.28
Albergue,2015,Aug,1197,122,1319,8063,144,8207,6.22
Albergue,2015,Jul,945,376,1321,6852,2997,9849,7.46
Albergue,2015,Jun,779,23,802,1721,25,1746,2.18
Albergue,2015,May,346,48,394,467,49,516,1.31
Albergue,2015,Apr,317,3,320,910,3,913,2.85
Albergue,2015,Mar,101,1,102,182,1,183,1.79
Albergue,2015,Feb,78,2,80,124,7,131,1.64
Albergue,2015,Jan,139,5,144,159,9,168,1.17
Albergue,2014,Dec,153,1,154,179,1,180,1.17
Albergue,2014,Nov,192,2,194,216,4,220,1.13
Albergue,2014,Oct,322,52,374,465,79,544,1.45
Albergue,2014,Sep,469,125,594,940,258,1198,2.02
Albergue,2014,Aug,3724,617,4341,13270,898,14168,3.26
Albergue,2014,Jul,1762,805,2567,8577,3229,11806,4.6
Albergue,2014,Jun,1062,252,1314,2784,513,3297,2.51
Albergue,2014,May,573,125,698,1100,248,1348,1.93
Albergue,2014,Apr,166,183,349,1369,1366,2735,7.84
Albergue,2014,Mar,189,87,276,365,96,461,1.67
Albergue,2014,Feb,43,11,54,74,11,85,1.57
Albergue,2014,Jan,27,10,37,43,16,59,1.59
