,come_from,avg_person_€,year,trimester,avg_person_day_€
290,Suecia,168.61,2021,4,49.87
291,Suecia,161.23,2021,3,51.7
292,Suecia,131.58,2021,2,58.09
293,Suecia,101.22,2021,1,36.89
294,Suecia,91.44,2020,4,36.52
295,Suecia,120.21,2020,3,43.49
296,Suecia,.,2020,2,.
297,Suecia,181.27,2020,1,51.36
298,Suecia,223.39,2019,4,59.83
299,Suecia,215.74,2019,3,58.16
300,Suecia,204.18,2019,2,65.08
301,Suecia,123.82,2019,1,47.87
302,Suecia,188.12,2018,4,58.11
303,Suecia,226.49,2018,3,53.97
304,Suecia,196.39,2018,2,59.64
305,Suecia,185.22,2018,1,51.47
306,Suiza,444.4,2022,1,118.27
307,Suiza,398.55,2021,4,110.96
308,Suiza,311.3,2021,3,101.48
309,Suiza,300.74,2021,2,133.11
310,Suiza,343.7,2021,1,120.38
311,Suiza,348.9,2020,4,152.8
312,Suiza,291.51,2020,3,101.77
313,Suiza,.,2020,2,.
314,Suiza,496.27,2020,1,132.71
315,Suiza,505.99,2019,4,138.21
316,Suiza,444.32,2019,3,118.72
317,Suiza,434.75,2019,2,139.81
318,Suiza,325.19,2019,1,124.08
319,Suiza,409.66,2018,4,132.4
320,Suiza,448.74,2018,3,107.07
321,Suiza,443.77,2018,2,133.58
322,Suiza,560.28,2018,1,146.89
323,Otros Pa�ses Europeos,154.48,2022,1,41.4
324,Otros Pa�ses Europeos,145.03,2021,4,41.93
325,Otros Pa�ses Europeos,138.6,2021,3,44.92
326,Otros Pa�ses Europeos,146.04,2021,2,64.53
327,Otros Pa�ses Europeos,110.42,2021,1,40.04
328,Otros Pa�ses Europeos,112.9,2020,4,48.08
329,Otros Pa�ses Europeos,121.51,2020,3,43.85
330,Otros Pa�ses Europeos,.,2020,2,.
331,Otros Pa�ses Europeos,181.44,2020,1,53.24
332,Otros Pa�ses Europeos,202.43,2019,4,54.57
333,Otros Pa�ses Europeos,193.42,2019,3,51.98
334,Otros Pa�ses Europeos,187.43,2019,2,60.01
335,Otros Pa�ses Europeos,122.88,2019,1,47.75
336,Otros Pa�ses Europeos,173.57,2018,4,54.35
337,Otros Pa�ses Europeos,213.3,2018,3,50.36
338,Otros Pa�ses Europeos,193.76,2018,2,58.36
339,Otros Pa�ses Europeos,212.89,2018,1,60.15
340,Argentina,150.97,2022,1,41.02
341,Argentina,139.47,2021,4,40.53
342,Argentina,117.13,2021,3,37.8
343,Argentina,92.68,2021,2,41.06
344,Argentina,75.09,2021,1,26.9
345,Argentina,83.4,2020,4,35.03
346,Argentina,83.97,2020,3,30.78
347,Argentina,.,2020,2,.
348,Argentina,124.63,2020,1,36.7
349,Argentina,178.12,2019,4,47.91
350,Argentina,180.6,2019,3,48.67
351,Argentina,175.05,2019,2,55.6
352,Argentina,107.35,2019,1,41.56
353,Argentina,159.7,2018,4,49.52
354,Argentina,193.62,2018,3,45.84
355,Argentina,186.06,2018,2,56.08
356,Argentina,218.92,2018,1,61.2
357,Brasil,272.23,2022,1,73.79
358,Brasil,245.37,2021,4,71.26
359,Brasil,248.78,2021,3,79.96
360,Brasil,210.8,2021,2,93.16
361,Brasil,159.18,2021,1,57.65
362,Brasil,184.86,2020,4,77.5
363,Brasil,155.94,2020,3,57.35
364,Brasil,.,2020,2,.
365,Brasil,247.56,2020,1,70.44
366,Brasil,296.6,2019,4,80.26
367,Brasil,272.45,2019,3,73.49
368,Brasil,263.35,2019,2,84.08
369,Brasil,179.94,2019,1,69.32
370,Brasil,228.37,2018,4,72.16
371,Brasil,251.81,2018,3,59.38
372,Brasil,236.23,2018,2,71.06
373,Brasil,275.71,2018,1,74.54
374,Canad�,356.46,2022,1,101.48
375,Canad�,267.5,2021,4,80.25
376,Canad�,247.99,2021,3,79.94
377,Canad�,350.12,2021,2,154.66
378,Canad�,277.08,2021,1,99.44
379,Canad�,287.6,2020,4,117.88
380,Canad�,223.99,2020,3,82.18
381,Canad�,.,2020,2,.
382,Canad�,314.25,2020,1,93.97
383,Canad�,330.57,2019,4,86.17
384,Canad�,264,2019,3,71.46
385,Canad�,275.19,2019,2,87.64
386,Canad�,203.65,2019,1,79.36
387,Canad�,278.86,2018,4,81.79
388,Canad�,286.67,2018,3,67.01
389,Canad�,273.76,2018,2,82.39
390,Canad�,339.54,2018,1,102.92
391,Chile,186.76,2022,1,49.51
392,Chile,195.59,2021,4,56.31
393,Chile,207.07,2021,3,67.11
394,Chile,194.93,2021,2,86.31
395,Chile,155.28,2021,1,55.22
396,Chile,165.44,2020,4,70.62
397,Chile,167.71,2020,3,60.62
398,Chile,.,2020,2,.
399,Chile,211.17,2020,1,62.23
400,Chile,275.98,2019,4,74.49
401,Chile,294.49,2019,3,79.49
402,Chile,276.73,2019,2,88.12
403,Chile,190.59,2019,1,74.09
404,Chile,291.62,2018,4,91.76
405,Chile,334.97,2018,3,79.07
406,Chile,310.28,2018,2,94.81
407,Chile,397.57,2018,1,104.39
408,Colombia,215.96,2022,1,58.86
409,Colombia,223.82,2021,4,62.77
410,Colombia,267.42,2021,3,85.61
411,Colombia,204.87,2021,2,90.41
412,Colombia,208.85,2021,1,75.73
413,Colombia,232.14,2020,4,100.36
